"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.834647250E0,-6.297709048E-2,7.468836755E-2,-4.954543337E-2
2.844687250E0,-7.074528188E-2,4.505433142E-2,-5.781682208E-2
2.854727250E0,-5.914109200E-2,3.786432743E-2,-6.989131868E-2
2.864768250E0,-6.417775154E-2,-1.053375844E-2,-8.900953829E-2
2.874808250E0,-5.963652208E-2,5.813523196E-3,-9.034191817E-2
2.884848250E0,-7.235677540E-2,-1.019960456E-2,-7.135780156E-2
2.894876875E0,-8.057156205E-2,-6.408328190E-3,-5.640734732E-2
2.904917875E0,-7.278814912E-2,-8.922400884E-3,-5.610705167E-2
2.914926875E0,-7.375381142E-2,-2.487526834E-2,-7.540431619E-2
2.924967875E0,-7.605068386E-2,-2.690472268E-2,-8.736398816E-2
2.935007875E0,-7.786828279E-2,-1.238916349E-2,-8.911501616E-2
2.945047875E0,-7.895498723E-2,-1.314644702E-2,-8.012491465E-2
2.955088875E0,-7.588968426E-2,-1.349106058E-2,-6.587406993E-2
2.965128875E0,-8.319038153E-2,-2.960355580E-2,-6.469277292E-2
2.975168875E0,-8.493155241E-2,-2.597606368E-2,-7.150753587E-2
2.985208875E0,-8.769609779E-2,-3.277996927E-2,-7.873625308E-2
2.995249875E0,-9.139735997E-2,-1.431520656E-2,-8.220128715E-2
3.005289875E0,-9.165588021E-2,-4.890353885E-3,-7.351775467E-2
3.015329875E0,-9.545035660E-2,1.152590290E-2,-6.095615029E-2
3.025370875E0,-8.962757140E-2,1.666921936E-2,-6.283698231E-2
3.035410875E0,-8.009637892E-2,2.373964712E-2,-6.938436627E-2
3.045420875E0,-6.076586992E-2,1.709239930E-2,-8.546175063E-2
3.055460875E0,-4.782823473E-2,7.545499131E-3,-9.781774879E-2
3.065500875E0,-4.044114798E-2,1.721571945E-2,-8.685897291E-2
3.075541875E0,-2.223231643E-2,1.003193669E-3,-7.896482944E-2
3.085581875E0,-6.873618811E-3,1.355070435E-2,-6.092419475E-2
3.095621875E0,2.912699711E-3,1.814971678E-2,-6.627262384E-2
3.105661875E0,1.735161059E-2,1.026937738E-2,-7.629100978E-2
3.115702875E0,3.903853148E-2,-1.985158306E-3,-9.525830299E-2
3.125742875E0,4.690854624E-2,-5.388007034E-3,-9.778265655E-2
3.135782875E0,5.930396169E-2,8.083693683E-4,-8.120394498E-2
3.145822875E0,6.178952381E-2,2.627025358E-3,-7.074756920E-2
3.155863875E0,6.164385006E-2,1.144341938E-2,-6.809798628E-2
3.165903875E0,5.777311325E-2,1.166774705E-2,-7.298786193E-2
3.175943875E0,7.460242510E-2,-5.455091596E-4,-8.551377803E-2
3.185953875E0,7.444570959E-2,-6.831514649E-3,-8.153174818E-2
3.195993875E0,7.781806588E-2,6.937826052E-3,-7.566746324E-2
3.206034875E0,7.035882026E-2,4.189793766E-2,-6.595119089E-2
3.216074875E0,6.165427715E-2,4.200180620E-2,-7.358753681E-2
3.226114875E0,5.722785741E-2,4.397597536E-2,-6.126361713E-2
3.236155875E0,5.520544946E-2,-1.622770913E-2,-7.042808831E-2
3.246195875E0,6.552090496E-2,-4.375009239E-2,-8.023865521E-2
3.256235875E0,7.193192840E-2,-6.423672289E-2,-9.527006745E-2
3.266275875E0,4.840660840E-2,-3.253629059E-2,-9.155990183E-2
3.276316875E0,3.699949011E-2,3.348906711E-2,-7.032278925E-2
3.286356875E0,2.419363894E-2,3.860260174E-2,-4.779392481E-2
3.296396875E0,2.341359854E-2,4.950105771E-2,-3.552101552E-2
3.306437875E0,6.233363878E-3,3.225090355E-2,-5.701494962E-2
3.316446875E0,2.525178716E-3,5.427791178E-2,-7.707148790E-2
3.326487875E0,-1.396602206E-2,3.743270785E-2,-9.906471521E-2
3.336527875E0,-3.074633144E-2,7.732499391E-2,-6.640157849E-2
